IFRS(연결),2023/03,2024/03,2024/12,2025/03,전년동기
매출액,752.29,783.06,562.11,0.0,134.23
매출원가,479.30,425.16,300.87,0.0,73.63
매출총이익,272.99,357.90,261.24,0.0,60.60
판매비와관리비,265.88,327.83,236.98,0.0,46.56
인건비,37.37,41.17,31.89,0.0,9.41
유무형자산상각비,4.06,4.51,5.95,0.0,1.14
연구개발비,21.68,36.74,27.76,0.0,4.40
광고선전비,3.43,3.15,1.53,0.0,0.36
판매비,9.93,12.24,4.05,0.0,1.63
관리비,189.16,229.19,165.58,0.0,29.58
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.24,0.82,0.22,0.0,0.05
영업이익,7.12,30.07,24.26,0.0,14.04
영업이익(발표기준),7.12,30.07,24.26,0.0,14.04
금융수익,0.59,1.78,0.17,0.0,0.53
이자수익,0.45,1.15,0.09,0.0,0.09
배당금수익,0.0,0.0,0.08,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.60,0.0,0.0,0.0
금융자산평가이익,0.13,0.03,0.00,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.43
기타금융수익,0.01,0.0,0.0,0.0,0.0
금융원가,18.62,21.77,17.45,0.0,3.38
이자비용,16.01,19.44,17.44,0.0,3.25
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.13,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.41,0.02,0.0,0.13
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,2.48,1.82,0.0,0.0,0.0
기타금융원가,0.0,0.11,0.0,0.0,0.0
기타수익,10.52,14.37,12.69,0.0,3.57
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,2.44,2.63,4.38,0.0,1.99
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.26,5.16,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.34,1.03,0.09,0.0,0.08
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.03,0.04,0.22,0.0,0.03
대손충당금환입,0.03,0.06,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,7.69,10.34,2.85,0.0,1.48
기타비용,7.33,17.07,7.93,0.0,3.09
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,5.81,9.52,6.97,0.0,2.89
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.12,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.50,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.89,7.55,0.96,0.0,0.20
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-7.72,7.38,11.73,0.0,11.67
법인세비용,0.09,-5.90,7.60,0.0,1.11
계속영업이익,-7.81,13.28,4.13,0.0,10.55
중단영업이익,-8.86,0.0,0.0,0.0,0.0
당기순이익,-16.67,13.28,4.13,0.0,10.55
지배주주순이익,-13.09,13.05,3.87,0.0,10.57
비지배주주순이익,-3.58,0.23,0.26,0.0,-0.02
