IFRS(개별),2022/03,2023/03,2024/03,2025/03,전년동기
순이자손익,-0.75,20.24,13.18,18.59,13.18
순수수료손익,604.47,407.40,381.86,364.50,381.86
금융상품관련손익,265.60,31.71,145.00,243.36,145.00
위험회피회계파생상품관련손익,4.08,29.66,26.92,-9.29,26.92
외환거래(환율변동)손익,0.00,0.01,0.05,0.17,0.05
금융자산관련손익,-2.14,-11.56,-8.96,-25.49,-8.96
기타영업손익,4.48,-1.90,-4.74,5.35,-4.74
순영업수익,875.74,475.56,553.31,597.20,553.31
판매비와관리비,660.55,496.40,474.56,494.70,474.56
영업이익,215.18,-20.84,78.75,102.50,78.75
영업외수익,16.41,4.95,4.21,39.74,4.21
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환거래이익,0.0,0.0,0.0,0.0,0.0
상각채권추심이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
유가증권처분이익,0.0,0.0,0.0,0.0,0.0
유가증권손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업관련이익",6.60,4.43,0.62,32.79,0.62
자산처분이익,0.0,0.0,0.0,0.0,0.0
자산재평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
사채상환이익,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
수입수수료,0.0,0.0,0.0,0.0,0.0
임대료,0.0,0.0,0.0,0.0,0.0
자산수증이익,0.0,0.0,0.0,0.0,0.0
보험차익,0.0,0.0,0.0,0.0,0.0
법인세환급액,0.0,0.0,0.0,0.0,0.0
전기오류수정이익,0.0,0.0,0.0,0.0,0.0
퇴직연금운용이익,0.0,0.0,0.0,0.0,0.0
보험수리적이익,0.0,0.0,0.0,0.0,0.0
기타영업외수익,9.81,0.52,3.59,6.94,3.59
영업외비용,2.79,7.14,13.03,31.34,13.03
이자비용,0.0,0.0,0.0,0.0,0.0
외환거래손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
유가증권처분손실,0.0,0.0,0.0,0.0,0.0
유가증권손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업관련손실",2.13,4.58,9.46,30.42,9.46
자산처분손실,0.00,0.00,0.00,0.0,0.00
자산손상차손,0.0,0.0,0.0,0.0,0.0
자산재평가손실,0.0,0.0,0.0,0.0,0.0
사채상환손실,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
지급수수료,0.0,0.0,0.0,0.0,0.0
기부금,0.34,0.52,0.58,0.57,0.58
법인세추납액,0.0,0.0,0.0,0.0,0.0
전기오류수정손실,0.0,0.0,0.0,0.0,0.0
퇴직연금운용손실,0.0,0.0,0.0,0.0,0.0
보험수리적손실,0.0,0.0,0.0,0.0,0.0
기타영업외비용,0.32,2.04,3.00,0.34,3.00
세전계속사업이익,228.80,-23.04,69.93,110.91,69.93
법인세비용,61.97,4.64,11.85,33.59,11.85
계속영업이익,166.83,-27.67,58.07,77.31,58.07
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,166.83,-27.67,58.07,77.31,58.07
