IFRS(연결),2022/06,2023/12,2024/12,2025/03,전년동기
매출액,295.66,130.55,136.14,56.80,27.04
매출원가,217.35,99.47,122.70,41.15,21.98
매출총이익,78.30,31.08,13.44,15.65,5.06
판매비와관리비,64.64,64.23,48.66,13.75,12.22
인건비,26.52,27.72,25.25,6.58,5.81
유무형자산상각비,7.29,2.79,1.96,0.92,0.36
연구개발비,7.47,4.78,4.15,1.08,1.12
광고선전비,0.80,0.40,0.05,0.01,0.01
판매비,2.59,-1.73,-0.22,0.02,0.01
관리비,19.96,30.27,17.47,5.14,4.91
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,13.66,-33.15,-35.22,1.90,-7.16
영업이익(발표기준),13.66,-33.15,-35.22,1.90,-7.16
금융수익,227.74,221.37,11.59,3.17,3.83
이자수익,2.42,9.05,6.70,3.16,2.33
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,4.64,0.93,4.89,0.01,1.50
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,4.71,0.0,0.0,0.0,0.0
금융자산평가이익,66.51,157.59,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,149.46,31.75,0.0,0.0,0.0
기타금융수익,0.0,22.05,0.0,0.0,0.0
금융원가,171.16,170.15,242.84,5.44,0.03
이자비용,31.97,2.12,0.15,0.04,0.04
외환손실,0.08,0.03,-0.00,0.09,-0.01
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.01,28.78,6.27,0.0,0.0
금융자산평가손실,0.0,56.68,236.42,5.30,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,32.77,78.98,0.0,0.0,0.0
기타금융원가,106.34,3.56,0.0,0.0,0.0
기타수익,1.25,91.85,20.23,115.54,0.01
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.32,0.07,0.0,0.01
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.25,91.54,20.16,115.54,0.00
기타비용,3.24,4.87,2.05,0.39,0.07
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.0,0.19,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,1.43,4.75,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,1.81,0.12,2.05,0.20,0.07
"종속기업,공동지배기업및관계기업관련손익",-7.24,-5.70,-30.38,0.0,-1.21
지분법손익,-7.24,-5.70,-30.38,0.0,-1.21
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,61.00,99.34,-278.66,114.78,-4.62
법인세비용,15.03,7.60,-10.41,0.0,0.0
계속영업이익,45.97,91.74,-268.24,114.78,-4.62
중단영업이익,-15.13,19.52,15.66,0.0,-2.59
당기순이익,30.84,111.26,-252.58,114.78,-7.21
지배주주순이익,30.75,107.38,-255.70,114.78,-6.69
비지배주주순이익,0.08,3.88,3.12,0.0,-0.52
